UserID,Username,GlobalRank,PP,Location,RegistrationDate
8640970,enri,14,20258.9,Philippines,2016-07-01 09:52:45+00:00
3717598,his kitten,34,18954.9,Canada,2013-12-10 05:04:17+00:00
5199332,Chicony,7,21622.2,Russian Federation,2014-11-13 06:26:47+00:00
13300203,yary,55,18070.8,Germany,2018-10-22 17:35:42+00:00
2546001,Intercambing,45,18596.4,Chile,2013-04-15 16:45:41+00:00
6304246,RyuK,31,19114.4,Canada,2015-04-11 04:02:39+00:00
9938943,aknzx,11,20572.8,Australia,2017-03-23 09:03:42+00:00
11091594,ThatNOOBguy,969,12617.2,Indonesia,2017-11-01 09:00:50+00:00
13228917,oslash,2728,10741.8,Australia,2018-10-09 11:13:10+00:00
11215030,Arge,143,16243.3,San Marino,2017-11-23 14:29:34+00:00
5033077,Zylice,40,18772.2,Canada,2014-10-11 04:26:06+00:00
10056419,PaintedKoala,683,13282.5,Israel,2017-04-15 19:30:08+00:00
12366071,nanoya,86,17192.3,Romania,2018-05-30 13:09:36+00:00
9265990,rng_,1182,12310.8,United States,2016-11-12 21:02:30+00:00
3149577,Coreanmaluco,161,16060.8,Brazil,2013-08-18 22:13:55+00:00
3765989,okinamo,98,16856.4,Germany,2013-12-21 14:40:48+00:00
10975777,CutPaper,1129,12384.1,Canada,2017-10-09 03:18:04+00:00
11806306,Zyntex,83,17244.3,Australia,2018-02-25 04:02:57+00:00
3257847,MyzeJD,8622,8771.64,France,2013-09-08 18:17:47+00:00
6667041,Dafonz,695,13255.1,Brazil,2015-06-25 21:21:13+00:00
12258658,Tsfury,97,16871.6,Canada,2018-05-12 17:55:22+00:00
4253615,zubs,440,14089.9,Brazil,2014-04-12 15:09:03+00:00
13705417,RafGPio,428,14133.7,Ukraine,2019-01-04 20:13:40+00:00
6404488,WillCookie,187,15772.3,United States,2015-05-02 16:36:36+00:00
3062998,rollpan,941,12664.0,Japan,2013-08-03 11:34:39+00:00
9818947,C-Pin,344,14542.7,Sweden,2017-03-01 11:27:38+00:00
9082441,Pieris,9416,8630.65,South Korea,2016-10-04 11:19:57+00:00
12714574,Aphrodi,3541,10300.4,Brazil,2018-07-23 00:30:47+00:00
11940767,Carlosflow,1424,11928.0,Colombia,2018-03-19 20:48:13+00:00
2848604,toybot,960,12636.9,United States,2013-06-23 07:04:43+00:00
14503423,misha awa,636,13415.2,Hong Kong,2019-05-19 05:11:08+00:00
139670,Vendemmia,747,13129.0,South Korea,2009-07-22 07:07:53+00:00
15429006,palr,1362,12031.0,Australia,2019-10-27 04:27:16+00:00
7554753,-mira,25494,6994.09,Germany,2015-12-11 21:53:02+00:00
3171691,BTMC,156,16124.6,United States,2013-08-23 02:33:45+00:00
10434787,CharleLee,2538,10871.4,France,2017-06-30 18:25:59+00:00
12790479,shadow modico,979,12593.3,Italy,2018-08-03 10:31:39+00:00
3792472,Woey,670,13321.9,United States,2013-12-28 06:03:00+00:00
4301976,Hifkil,684,13281.9,France,2014-04-23 07:05:36+00:00
12904237,Gabey,1073,12471.8,United States,2018-08-17 01:57:20+00:00
