UserID,Username,GlobalRank,PP,Location,RegistrationDate
14106450,worst hr player,35,18910.3,South Korea,2019-03-16 12:06:04+00:00
2511839,Amamya Kokoro,213,15494.2,South Korea,2013-04-05 03:36:53+00:00
284905,Ekoro,597,13552.0,France,2010-03-10 16:23:38+00:00
4108547,WindowLife,17,20136.4,United States,2014-03-07 05:33:58+00:00
1906975,Hellotomlol225,2728,10742.9,Hong Kong,2012-09-09 03:30:15+00:00
5981005,gamer228666,72,17369.4,Russian Federation,2015-02-14 13:48:32+00:00
10651106,Pezz,1001,12556.1,United States,2017-08-11 19:47:35+00:00
8152145,nvwrii,16202,7737.93,Singapore,2016-03-26 07:34:57+00:00
15173952,BATBALL,2834,10686.9,United States,2019-09-12 21:53:25+00:00
9719351,Lucrise,545,13692.1,Romania,2017-02-10 21:49:50+00:00
4346274,Vitya1437,1663,11635.2,Russian Federation,2014-05-03 07:58:22+00:00
9508109,onetabby,1187,12297.3,United States,2017-01-02 01:53:04+00:00
3533958,fieryrage,264,15047.4,United States,2013-11-02 17:12:47+00:00
9961301,TESTER PIVKA,398,14276.9,Russian Federation,2017-03-27 12:12:10+00:00
11375251,Amasetic,1074,12471.4,Finland,2017-12-20 14:12:52+00:00
12952320,aimbotcone,15,20158.6,Germany,2018-08-23 18:06:31+00:00
6404027,Bartek22830,279,14911.1,Poland,2015-05-02 14:58:58+00:00
4540667,Another Guy,1656,11643.4,Vietnam,2014-06-17 11:55:53+00:00
14035920,Rikuima,1473,11855.4,Japan,2019-03-04 01:09:57+00:00
4585186,Nopekjk,1577,11737.6,South Korea,2014-06-28 02:12:29+00:00
7630971,VROUM CV VITE,1654,11644.8,France,2015-12-25 04:24:44+00:00
8799923,Suyong_,197,15605.7,South Korea,2016-08-04 08:06:21+00:00
4682646,maxbireo,380,14354.6,Hong Kong,2014-07-21 07:06:22+00:00
4470775,razorfruit,291,14848.0,United States,2014-06-01 15:05:54+00:00
6830745,DaHuJka,493,13871.3,Russian Federation,2015-07-26 16:06:31+00:00
24270105,-lion,1048,12495.5,Germany,2021-06-25 14:21:05+00:00
11415230,Gambler,5534,9546.62,South Korea,2017-12-26 14:26:36+00:00
10829419,shion,253,15153.3,Hong Kong,2017-09-11 08:41:21+00:00
114017,KRZY,3165,10486.7,South Korea,2009-05-23 16:01:31+00:00
6744123,chillington 15,1199,12282.2,Netherlands,2015-07-10 12:27:25+00:00
8666950,DarkKarate,1326,12079.4,Canada,2016-07-06 18:39:55+00:00
6093148,Shinkiro,2036,11279.1,Türkiye,2015-03-01 21:30:10+00:00
12159899,NazunaAmemiya,196,15621.9,Indonesia,2018-04-26 12:49:07+00:00
6600930,Zoomer,13,20284.5,New Zealand,2015-06-12 11:13:14+00:00
9993348,ur cute,95,16934.2,United States,2017-04-02 19:33:08+00:00
7081596,Bomilk,518,13786.2,Argentina,2015-09-13 03:21:58+00:00
8581210,LightsOut,162,16059.2,United States,2016-06-19 05:38:07+00:00
18131614,polski1,1960,11338.4,United Kingdom,2020-08-17 05:20:58+00:00
7810180,calangi,2314,11058.1,France,2016-01-23 08:55:59+00:00
12976255,Nyash,257,15099.1,Brazil,2018-08-26 23:31:02+00:00
10162611,cedru,139,16261.7,Estonia,2017-05-06 15:22:15+00:00
7537133,megumic,1386,11992.4,Singapore,2015-12-08 08:06:42+00:00
11207004,tfge,1824,11482.0,Chile,2017-11-21 23:45:03+00:00
